"","lon","lat","KWH","percent","Base","lattilt","id","coords.x1","coords.x2"
"82",-74.7463678,40.2731258,0,0,"NEW JERSEY ARNG",4.67,82,-74.7463678,40.2731258
"83",-104.53504,33.320882,11335057.75,0.00501230346998453,"NEW MEXICO ARNG",6.43,83,-104.53504,33.320882
"84",-73.9838704,40.7412735,422934.5944,0.000187019473728541,"NEW YORK ARNG",4.61,84,-73.9838704,40.7412735
"85",-78.887608,35.012028,26103.45278,1.15428107940404e-05,"NORTH CAROLINA ARNG",5.16,85,-78.887608,35.012028
"86",-102.3523732,47.8819941,29916.31667,1.32288393373379e-05,"NORTH DAKOTA 
ARN",4.55,86,-102.3523732,47.8819941
"87",-83.0675651,40.0896495,534387.5389,0.000236303385004365,"OHIO ARNG ",4.45,87,-83.0675651,40.0896495
"88",-97.4695663,35.5052108,26396.75,1.16725052963505e-05,"OKLAHOMA ARNG",5.36,88,-97.4695663,35.5052108
"89",-123.002595,44.91012,630002.4333,0.000278583793058159,"OREGON ARNG",4.31,89,-123.002595,44.91012
"90",-80.0061829,40.440551,22290.58889,9.85678225074288e-06,"PENNSYLVANIA 
ARNG ",4.34,90,-80.0061829,40.440551
"91",-74.5802593,40.9168205,3627206.747,0.00160393192212359,"PICATINNY ARSENAL
",4.62,91,-74.5802593,40.9168205
"92",-92.1163137,34.3482001,9045286.333,0.00399977848140205,"PINE BLUFF 
ARSENAL",5.03,92,-92.1163137,34.3482001
"93",-121.9071729,36.6069569,1468245.894,0.000649250683287144,"PRESIDIO OF 
MONTEREY 
",5.19,93,-121.9071729,36.6069569
"94",-94.2948884,33.4314788,13155260.31,0.00581718755692822,"RED RIVER ARMY 
DEPOT 
",5.04,94,-94.2948884,33.4314788
"95",-71.4207775,41.5966992,192109.6806,8.49498996764264e-05,"RHODE ISLAND 
ARNG 
",4.62,95,-71.4207775,41.5966992
"96",-86.6596413,34.647896,16688611.94,0.00737961723539408,"RSTONE ARSENAL",4.93,96,-86.6596413,34.647896
"97",-90.5472089,41.5177801,388912.1167,0.000171974911380971,"ROCK ISLAND 
ARSENAL",4.65,97,-90.5472089,41.5177801
