UUID,Category,Sub category,Elementary flowname,Unit,resources - fossil fuels,resources - mineral extraction
15ecd7f4-7734-44ec-af1c-8d3a46d27f1f,resource,unspecified,"Cobalt, in ground",kg,0,0
ec72c523-9e1a-466a-98c3-e4098e90fd27,resource,in ground,"Colemanite, in ground",kg,0,0
f902acb7-fe29-404f-a123-b4ba634abca6,resource,land,Conv. to integr. arable land,m2,0,0
fe0acd60-3ddc-11dd-ae5c-0050c2490048,resource,in ground,Copper,kg,0,0
5bfe61f2-cefc-47e6-9704-3fab3ebbd4c9,resource,unspecified,Copper,kg,0,0
6dc7167c-d1a5-4a11-a350-7d378f0771f6,resource,in ground,Copper ore (1.2%),kg,0,0
195e2726-7b5e-4320-bf1e-990d0a22fd18,resource,in ground,"Copper ore, 0.14%, in ground",kg,0,0
52730d7f-5d94-49e0-81a3-b73603ebb14c,resource,in ground,"Copper ore, 4%, in ground",kg,0,0
7ae398b1-8532-11e0-9d78-0800200c9a66,resource,in ground,"Copper ore, in ground",kg,0,0
6e52f0b5-5073-4fdc-8542-aa0bda49c80e,resource,in ground,"Copper ore, sulfidic, in ground",kg,0,0
1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,resource,in ground,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
8dc2a251-ffb4-4131-b3ad-54eaf3a71afe,resource,unspecified,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,resource,in ground,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
d58b689c-e3bd-43ae-b102-1b7c305f2d92,resource,unspecified,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
