UUID,Category,Sub category,Elementary flowname,Unit,acidification,ecotoxicity,eutrophication,globalwarming,ozonedepletion,photochemicaloxidation,carcinogenics,non-carcinogenics,respiratory.effects
a9cec965-c573-4596-b3f2-fda2ccb8bba8,soil,unspecified,"2,4-DIAMINOTOLUENE",kg,0,0,0,0,0,0,0,0,0
0ddf67b9-84f7-47e8-bccb-d4a9b53e8241,soil,unspecified,"2,4-DINITROPHENOL",kg,0,0,0,0,0,0,0,0,0
3ffd879d-e72d-44ef-bd40-f1f3ad2f91a8,air,unspecified,"2,4/2,6-toluenediisocyanate (mixture)",kg,0,0,0,0,0,0,0,0,0
3ea0eeb9-d4f2-4918-a653-365f5623b68b,soil,unspecified,"2,6-Dinitrotoluene",kg,0,0,0,0,0,0,0,0,0
10ca381e-e442-4dda-a312-4f11cf4435de,soil,unspecified,2-Acetylaminofluorene,kg,0,0,0,0,0,0,0,0,0
3e07d825-a98e-4cdc-afa3-610fa7739261,air,unspecified,2-Aminopropanol,kg,0,0,0,0,0,0,0,0,0
ea6f1100-7fe4-4f66-92cc-a69fe2dcca77,water,unspecified,2-Aminopropanol,kg,0,0,0,0,0,0,0,0,0
7a61bd4e-866d-4ce7-ae00-9d2703d08d64,soil,unspecified,2-butenal,kg,0,0,0,0,0,0,0,0,0
97045e01-b4df-4279-8c56-0ac84894ee1a,soil,unspecified,"2-Chloro-1,1,1-trifluoroethane",kg,0,0,0,0,0,0,0,0,0
a6948921-d5ca-4770-ba23-99047a15f553,air,unspecified,2-Chloro-1-phenylethanone,kg,0,0,0,0,0,0,0,0,0
6e214c03-b5d5-43a0-bf63-01f346d1b42f,soil,unspecified,2-Chloro-1-phenylethanone,kg,0,0,0,0,0,0,0,0,0
2c52799b-fdef-4575-8abb-df8cd5b788a6,air,unspecified,2-chlorophenol,kg,0,0,0,0,0,0,0,0,0
715e99db-3a97-436e-ad69-a318414704b8,soil,unspecified,2-chlorophenol,kg,0,0,0,0,0,0,0,0,0
20b77abb-d582-493f-89b5-ae74ed8b2a22,soil,unspecified,2-ethoxyethyl acetate,kg,0,0,0,0,0,0,0,0,0
e53503c2-c0ad-414a-a4bb-3b461d29610a,air,unspecified,2-Hexanone,kg,0,0,0,0,0,0,0,0,0
a6fbe304-9e67-41ae-a942-7b31a7dd7456,soil,unspecified,2-Hexanone,kg,0,0,0,0,0,0,0,0,0
72b3a8f4-7142-4bb7-b495-34da18bd01f1,water,unspecified,2-Hexanone,kg,0,0,0,0,0,0,0,0,0
028d03b7-fbf6-4b32-a0d8-60e6bf67768b,soil,unspecified,2-Mercaptobenzothiazole,kg,0,0,0,0,0,0,0,0,0
2b6c2906-a60a-4117-b703-7fd6885da59b,air,unspecified,2-Methoxy-Ethanol,kg,0,0,0,0,0,0,0,0,0
7f3d8bfa-18de-4679-9f54-2d1a4390c0b4,soil,unspecified,2-METHOXYETHANOL,kg,0,0,0,0,0,0,0,0,0
059e6a26-7035-4621-a360-c71c5778eec8,air,unspecified,2-Methyl pentane,kg,0,0,0,0,0,0.46306,0,0,0
9ad80db5-180a-4713-b02e-f8f4f00ef5ef,air,unspecified,2-Methyl-1-Butene,kg,0,0,0,0,0,0,0,0,0
47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,air,unspecified,2-Methyl-1-propanol,kg,0,0,0,0,0,0.49137,0,0.34752,0
75d235e1-2ac1-4746-a9d2-2dfa00648d50,soil,unspecified,2-Methyl-1-propanol,kg,0,0,0,0,0,0,0,0,0
446e7a93-6ac4-4bdf-b97d-03f683c7488c,water,unspecified,2-Methyl-1-propanol,kg,0,0,0,0,0,0,0,0.050614,0
4e44630f-4197-4f05-809f-0fef07fba7d3,air,unspecified,2-Methyl-2-butene,kg,0,0,0,0,0,3.3992,0,0,0
23868338-42bc-4baf-a9e2-8e84ff8c92f1,water,unspecified,2-Methyl-2-butene,kg,0,0,0,0,0,0,0,0,0
f711f691-e83e-4f32-b3b9-c90cfec27a02,air,unspecified,2-Methylbutan-1-ol,kg,0,0,0,0,0,0,0,0,0
f514d4d0-f910-43e8-b629-b4daa53b8670,air,unspecified,2-Methylbutan-2-ol,kg,0,0,0,0,0,0,0,0,0
e9f2dbb2-2b2a-4e15-bd83-45c34119884a,soil,unspecified,2-Methylbutan-2-ol,kg,0,0,0,0,0,0,0,0,0
8ca862ca-3e9b-41d5-9a04-3781decea14b,air,unspecified,2-Methylhexane,kg,0,0,0,0,0,0,0,0,0
98d3f159-b420-4e43-aab5-4fd093b82429,air,unspecified,2-Nitrobenzoic acid,kg,0,0,0,0,0,0,0,0,0
013889b4-dc6d-4c37-9995-61263395fb01,soil,unspecified,2-Nitrophenol,kg,0,0,0,0,0,0,0,0,0
b59638da-9aef-4dd3-aa56-6a7ac4457174,soil,unspecified,2-NITROPROPANE,kg,0,0,0,0,0,0,0,0,0
479edec6-763c-49fc-83f8-49780f08cf29,air,unspecified,2-Propanol,kg,0,0,0,0,0,0.16121,0,0.012034,0
42453c6c-487e-423b-91fa-40eb22ffe0e9,soil,unspecified,2-Propanol,kg,0,0,0,0,0,0,0,0,0
e92a1310-603c-4346-85b8-e4e3192cd75c,water,unspecified,2-Propanol,kg,0,0,0,0,0,0,0,0.0057825,0
2430fcaa-d7b5-4cac-8bef-c82ed9d84577,soil,unspecified,"3,3'-dimethylbenzidine",kg,0,0,0,0,0,0,0,0,0
26437485-ec90-4d19-b91b-600f44312cea,soil,unspecified,"3,3-Dichlorobenzidine",kg,0,0,0,0,0,0,0,0,0
56968990-f006-41ca-88be-6e1c8b99884d,air,unspecified,"3,5-Diethyltoluene",kg,0,0,0,0,0,0,0,0,0
a277f1a2-5e12-418b-8121-8bd174b89aea,air,unspecified,"3,5-Dimethylethylbenzene",kg,0,0,0,0,0,0,0,0,0
21ecfac8-32e3-4736-8b76-fab60424c577,soil,unspecified,3-Iodo-2-propynyl butylcarbamate,kg,0,0,0,0,0,0,0,0,0
5e734470-2065-4bfe-8dc7-e2006a7ea2b1,air,unspecified,3-Methyl pentane,kg,0,0,0,0,0,0,0,0,0
1eefb686-03de-4dc8-933a-e3b7459438da,air,unspecified,3-Methyl-1-butanol,kg,0,0,0,0,0,0,0,0,0
8114f79d-41eb-42f2-99d8-159db57d3bcb,water,unspecified,3-Methyl-1-butanol,kg,0,0,0,0,0,0,0,0,0
d01adad5-df5d-4c96-877d-09aeed46cf3d,air,unspecified,3-Methyl-1-Butene,kg,0,0,0,0,0,0,0,0,0
51446c5d-fd9b-4e45-884f-649143ebee1a,air,unspecified,3-Methylbutan-2-ol,kg,0,0,0,0,0,0,0,0,0
25fa24f5-1c5e-4dca-a06b-8979ae0b3519,air,unspecified,3-Methylhexane,kg,0,0,0,0,0,0,0,0,0
4da82801-d0a0-4af3-be99-1c4f52ac0914,air,unspecified,3-Pentanol,kg,0,0,0,0,0,0,0,0,0
519df2e8-3b67-4aae-bce5-2040b5295db5,soil,unspecified,3-Pentanol,kg,0,0,0,0,0,0,0,0,0
