,,"Graphene [kg]","Natural gas, combusted in industrial boiler [m3]","Natural gas, at extraction site [m3]","Acetone Production [kg]","copper sheet [kg]","municipal waste (unspecified) [kg]","Diesel, combusted in industrial boiler [m3]","Gasoline, combusted in equipment [m3]","Electricity, at grid, US, 2000 [kWh]","de-ionised water [kg]","iron (III) chloride, 40% in H2O, at plant [kg]","Hydrogen, liquid, synthesis gas, at plant [kg]","polymethyl methacrylate (PMMA) beads [kg]","Natural gas, processed, at plant [m3]","Iron, sand casted [kg]","Chlorine, production mix, at plant [kg]","Transport, combination truck, average fuel mix [t*km]","Hydrochloric acid, at plant [kg]","Natural gas, processed, for olefins production, at plant [kg]","Transport, pipeline, natural gas [t*km]","Electricity, at grid, US, 2008 [kWh]","Propylene, at plant [kg]","oxygen [kg]","Sulfuric acid, at plant [kg]","benzene [kg]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","Sodium hydroxide, production mix, at plant [kg]","Dummy, TEA gas scrubber, at plant [kg]","Oxygen, liquid, at plant [kg]","Dummy, Disposal, sludge, to sanitary landfill [kg]","Sodium chloride, at plant [kg]","Transport, pipeline, unspecified petroleum products [t*km]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene [m3]","Electricity, at cogen, for natural gas turbine [kWh]","Sulfur, at plant [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]"
,,"","","","","Materials production / Metals and semimetals","Wastes / Production residues","","","","Materials production / Water","chemicals / inorganics","","Materials production / Plastics","","","","","","","","","","Materials production / Inorganic chemicals","","Materials production / Organic chemicals","","","","","","","","","","","","","","","",""
"Nitrogen oxides [kg]","air / unspecified",0.0,0.0016,0.0,0.0,0.0,0.0,0.00287,0.033472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.327173753554898E-7,0.0,0.0025543235,0.0,0.0,0.0,0.0,0.0,5.0E-5,0.0,0.0,4.9859E-4,0.0,9.172826246445102E-7,0.0,0.0,0.0,0.0,0.0,5.3228E-4,0.0,0.00428050951742419,0.0,0.0,3.5753E-4,3.546E-4
"BOD5, Biological Oxygen Demand [kg]","water / unspecified",0.0,0.0,5.52E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.947981252539213E-5,0.0,2.7317595E-4,0.0,0.0,0.0,6.3663819816531E-7,0.0,1.0E-4,0.0,0.0,0.0,0.0,6.552018747460788E-5,0.0,0.0,0.0,0.0,0.0,0.0,2.43E-5,0.0,0.0,3.18E-5,0.0,0.0
"Lead [kg]","air / unspecified",0.0,8.01E-9,0.0,0.0,7.48E-5,3.74257E-10,1.5E-7,0.0,0.0,5.562914872817E-10,0.0,0.0,2.29362E-9,0.0,0.0,2.379192501015685E-12,0.0,1.2604127E-7,0.0,0.0,0.0,0.0,2.46174773127714E-8,0.0,8.03314077434583E-8,0.0,0.0,0.0,2.620807498984315E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0092E-9,0.0,0.0,0.0,0.0
"Methane, tetrachloro-, R-10 [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282546501828233E-8,0.0,1.862003E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.717453498171767E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benzene [kg]","air / unspecified",0.0,3.36E-8,0.0,0.005545297,5.58759E-4,2.30724E-6,0.0,1.3975E-5,0.0,4.87587025872578E-9,0.0,0.0,5.7721E-6,0.0,1.1E-4,4.996304252132938E-9,0.0,2.9627429E-5,9.6E-5,0.0,0.0,0.0,1.29204845291593E-7,0.0,4.52133074315177E-6,0.0,0.0,0.0,5.503695747867062E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3639E-8,0.0,0.0,0.0,0.0
"Ethane, 1,1,1-trifluoro-2,2-dichloro-, HCFC-123 [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022313625863332E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2276863741366677E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Particulates, < 2.5 um [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,8.17397E-14,0.0,0.0,0.0,4.03666647021415E-7,0.0,0.0,9.55684E-13,0.0,0.0,2.6171117511172536E-8,0.0,7.2240905E-5,0.0,0.0,0.0,0.0,2.35647801426416E-5,0.0,3.38615902988511E-5,0.0,0.0,0.0,2.8828882488827467E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sulfur oxides [kg]","air / unspecified",0.0,1.01E-5,0.0,0.0,0.0,0.0,5.99E-4,5.0092E-4,0.0,0.0,0.0,2.9E-5,0.0,0.0,0.0,1.2133881755179993E-7,0.0,2.6848829E-4,0.0,0.0,0.0,4.0643649548215E-6,0.0,0.00259,0.0,0.0,4.1881E-6,0.0,1.3366118244820007E-7,0.0,0.0,0.0,0.0,0.0,1.759E-5,0.0,6.46630161142803E-4,0.0,0.0,6.1985E-6,9.0312E-5
"Organic substances, unspecified [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760602450751607E-9,0.0,9.1473692E-7,0.0,0.0,0.0,1.0E-6,0.0,0.0,0.0,0.0,0.0,0.0,1.9393975492483933E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lead [kg]","water / unspecified",0.0,0.0,1.01E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6E-9,1.237180100528156E-10,0.0,5.0220804E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3628198994718438E-10,0.0,0.0,0.0,0.0,0.0,0.0,1.26E-7,0.0,0.0,1.51E-7,0.0,0.0
"Electricity, cogenerated, at plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2964549386186212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32656093439725215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Particulates, unspecified [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42381975274235E-7,0.0,5.0369587E-4,0.0,0.0,0.0,8.2298748386482E-6,0.0,0.001,0.0,0.0,0.0,0.0,7.07618024725765E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, process, unspecified natural origin/m3 [m3]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.458775927751836E-4,0.0,0.0,0.0,0.0,0.0,-6.09611918735591E-4,0.0,0.0,0.0,0.0,0.0,0.0,-3.8100262525578136E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chlorine [kg]","air / unspecified",0.0,0.0,0.0,0.0,1.06E-7,3.34518E-10,0.0,0.0,0.0,5.60469697895071E-9,0.0,0.0,4.35035E-7,0.0,0.0,2.703141545312942E-7,0.0,0.001901078,0.0,0.0,0.0,1.0E-7,4.85475333682235E-12,0.0,2.08514690522478E-9,0.0,0.0,0.0,2.977654657934508E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrogen chloride [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.023362788,1.54893E-4,8.38E-5,0.0,0.0,2.01670014426673E-7,0.0,0.0,1.59703E-4,0.0,0.0,7.137577503047055E-8,0.0,1.7050635E-4,0.0,0.0,0.0,1.0E-9,1.68339277401446E-5,0.0,1.29494570571768E-5,0.0,0.0,0.0,7.862422496952944E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Particulates, > 2.5 um, and < 10um [kg]","air / unspecified",0.0,1.21E-4,0.0,0.0,0.478489228,0.0,1.2E-4,2.6521E-4,0.0,4.78993700988572E-7,0.0,0.0,0.0,0.0,0.0,4.520465751929802E-6,0.0,1.1453074E-4,0.0,0.0,0.0,1.0E-4,1.18810635430471E-5,0.0,2.14360636837407E-5,0.0,1.2372E-5,0.0,4.979534248070199E-6,0.0,0.0,0.0,0.0,0.0,9.1907E-6,0.0,8.10564568193091E-5,0.0,0.0,8.8651E-6,8.7924E-6
"Carbon monoxide [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.717615705,0.007191209,0.0,0.0,0.0,3.29540524755803E-6,0.0,0.0069,0.005533722,0.0,0.0,3.09295025132039E-8,0.0,6.3442585E-4,0.0,0.0,0.0,1.0E-6,5.54583843820176E-5,0.0,6.50125042296734E-4,0.0,0.0,0.0,3.40704974867961E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide, fossil [kg]","air / unspecified",0.0,1.96,0.0,0.0,0.0,0.0,2.73,2.085,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.6416428257008225E-5,0.0,1.5562596,0.053,1.38468984764995E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.018949,0.0,1.8083571742991773E-5,0.0,0.0,0.0,0.0,0.0,0.079876,0.017,6.06557306086066,0.0,0.214,0.028149,0.028712
"Dissolved solids [kg]","water / unspecified",0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975468925416431,0.0,0.045093303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010745310745835691,0.0,0.0,0.0,0.0,0.0,0.0,0.00623,0.0,0.0,0.00815,0.0,0.0
"Dummy_Disposal, solid waste, unspecified, to municipal incineration [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1405341013407043E-4,0.0,0.0,0.0,0.0,0.0,-0.00559548942014094,0.0,0.0,0.0,0.0,0.0,0.0,-3.4594658986592956E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Suspended solids, unspecified [kg]","water / unspecified",0.0,0.0,0.00201,0.0,0.0,0.0,1.07E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760602450751607E-5,0.0,9.1380822E-4,0.0,0.0,0.0,4.80161632339062E-6,0.0,3.0E-4,0.0,0.0,0.0,0.0,1.939397549248393E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00256,0.0,0.0,0.00298,0.0,0.0
"Mercury [kg]","air / unspecified",0.0,4.16E-9,0.0,0.0,1.65E-5,2.02392E-9,4.99E-8,0.0,0.0,1.61584980195739E-10,0.0,0.0,1.70679E-8,0.0,0.0,3.806708001625096E-8,0.0,6.1743268E-8,0.0,0.0,0.0,0.0,3.4169435270594E-9,0.0,5.62928046020251E-9,0.0,0.0,0.0,4.193291998374904E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1648E-9,0.0,0.0,0.0,0.0
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022313625863332E-8,0.0,8.82E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2276863741366677E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
