,,"Graphene [kg]","Natural gas, combusted in industrial boiler [m3]","Natural gas, at extraction site [m3]","Acetone Production [kg]","copper sheet [kg]","municipal waste (unspecified) [kg]","Diesel, combusted in industrial boiler [m3]","Gasoline, combusted in equipment [m3]","Electricity, at grid, US, 2000 [kWh]","de-ionised water [kg]","iron (III) chloride, 40% in H2O, at plant [kg]","Hydrogen, liquid, synthesis gas, at plant [kg]","polymethyl methacrylate (PMMA) beads [kg]","Natural gas, processed, at plant [m3]","Iron, sand casted [kg]","Chlorine, production mix, at plant [kg]","Transport, combination truck, average fuel mix [t*km]","Hydrochloric acid, at plant [kg]","Natural gas, processed, for olefins production, at plant [kg]","Transport, pipeline, natural gas [t*km]","Electricity, at grid, US, 2008 [kWh]","Propylene, at plant [kg]","oxygen [kg]","Sulfuric acid, at plant [kg]","benzene [kg]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","Sodium hydroxide, production mix, at plant [kg]","Dummy, TEA gas scrubber, at plant [kg]","Oxygen, liquid, at plant [kg]","Dummy, Disposal, sludge, to sanitary landfill [kg]","Sodium chloride, at plant [kg]","Transport, pipeline, unspecified petroleum products [t*km]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene [m3]","Electricity, at cogen, for natural gas turbine [kWh]","Sulfur, at plant [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]"
,,"","","","","Materials production / Metals and semimetals","Wastes / Production residues","","","","Materials production / Water","chemicals / inorganics","","Materials production / Plastics","","","","","","","","","","Materials production / Inorganic chemicals","","Materials production / Organic chemicals","","","","","","","","","","","","","","","",""
"Styrene [kg]","air / unspecified",0.0,0.0,0.0,0.003080715,0.0,3.32743E-10,0.0,0.0,0.0,1.67057065312024E-15,0.0,0.0,5.78024E-8,0.0,0.0,0.0,0.0,4.4784982E-10,0.0,0.0,0.0,0.0,5.44664545969699E-14,0.0,3.68773258775764E-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arsenic [kg]","water / fresh water",0.0,0.0,0.0,0.0,2.44379290010979E-5,3.19743E-10,0.0,0.0,0.0,2.24378166902933E-10,0.0,0.0,2.62556E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54457726612086E-9,0.0,1.27004078760893E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane, dichloro-, HCC-30 [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,8.04383E-13,5.36E-7,0.0,0.0,7.03015777549447E-18,0.0,0.0,9.5974E-10,0.0,0.0,0.0,0.0,5.6834163E-8,0.0,0.0,0.0,0.0,5.73489204870781E-16,0.0,3.22184640634244E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lead [kg]","resource / in ground",0.0,0.0,0.0,0.0,3.8817276668,-7.37251E-7,0.0,0.0,0.0,-6.62379432499784E-7,0.0,0.0,-3.63217E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.58717828626173E-7,0.0,-3.89213764494331E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"wood;  14.7 MJ/kg [kWh]","resource / biotic",0.0,0.0,0.0,0.0,-36.59513200535944,-2.2623940946369205E-5,0.0,0.0,0.0,-5.306215584028639E-7,0.0,0.0,-2.2509891895645023E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.20405844976658E-6,0.0,-1.0694716706264828E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Energy, primary, from solar energy [kWh]","resource / in air",0.0,0.0,0.0,0.0,0.0,-1.2896722232539599E-5,0.0,0.0,0.0,-1.0762810652871469E-4,0.0,0.0,-2.00730000160584E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007114696888070313,0.0,-0.004170915661523455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Antimony [kg]","air / unspecified",0.0,0.0,0.0,0.0,4.83E-6,1.7972E-15,0.0,0.0,0.0,9.39149023898746E-11,0.0,0.0,2.37001E-12,0.0,0.0,0.0,0.0,2.7312147E-9,0.0,0.0,0.0,0.0,1.33679204194858E-9,0.0,1.04304771401211E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sodium chloride, in ground [kg]","resource / in ground",0.0,0.0,0.0,0.0,-30.91060125,-0.001691212,0.0,0.0,0.0,-0.00253912694693243,0.0,0.0,-0.031991338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.08572424142579E-6,0.0,-0.00118179698378877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mineral waste [kg]","Deposited goods / Consumer waste",0.0,0.0,0.0,0.0,0.0,3.96566E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.003217695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nickel [kg]","air / unspecified",0.0,3.36E-8,0.0,0.0,2.37811E-4,6.57863E-6,4.99E-8,0.0,0.0,4.2828761271549E-10,0.0,0.0,1.73009E-6,0.0,0.0,0.0,0.0,1.8198338E-7,0.0,0.0,0.0,0.0,2.92669408095811E-8,0.0,2.43798040058698E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3639E-8,0.0,0.0,0.0,0.0
"organic waste (unspecified) [kg]","Wastes / Production residues",0.0,0.0,0.0,0.0,0.0,2.04079E-8,0.0,0.0,0.0,0.0,0.0,0.0,1.05912E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Air [kg]","resource / in air",0.0,0.0,0.0,0.0,-4363.601567,-4.109912525,0.0,0.0,0.0,-0.172106328784411,0.0,0.0,0.151403843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.32503425723301,0.0,-8.51779908242344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chemicals (unspecified) [kg]","Production residues in life cycle / Waste for recovery",0.0,0.0,0.0,0.0,0.0,0.007010087,0.0,0.0,0.0,0.0,0.0,0.0,0.015604493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cadmium [kg]","water / fresh water",0.0,0.0,0.0,0.0,-2.58E-6,4.42652E-15,0.0,0.0,0.0,4.24267325922128E-10,0.0,0.0,5.10931E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94414254517229E-9,0.0,1.00087181871982E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sand, quartz, in ground [kg]","resource / in ground",0.0,0.0,0.0,0.0,-5.709873715,-6.35057E-26,0.0,0.0,0.0,-2.19920032689104E-6,0.0,0.0,-1.1032E-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.98327252467054E-6,0.0,-5.41927807543912E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Waste paper [kg]","Production residues in life cycle / Waste for recovery",0.0,0.0,0.0,0.0,0.0,2.01732E-11,0.0,0.0,0.0,0.0,0.0,0.0,1.07857E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Xylene [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.005716209,8.23409E-7,0.0,4.2688E-6,0.0,3.81007818915257E-8,0.0,0.0,4.04026E-7,0.0,7.8E-5,0.0,0.0,2.5090507E-5,8.7E-5,0.0,0.0,0.0,1.75456072838039E-6,0.0,1.11819336960564E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manganese [kg]","water / fresh water",0.0,0.0,0.0,0.0,7.56371E-4,4.32646E-14,0.0,0.0,0.0,4.45325787514078E-9,0.0,0.0,2.27146E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79509259825695E-7,0.0,1.13080582075729E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AOX, Adsorbable Organic Halogen as Cl [kg]","water / fresh water",0.0,0.0,0.0,0.0,6.23E-7,1.3302E-12,0.0,0.0,0.0,8.26878907252414E-10,0.0,0.0,1.45235E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10362340789646E-8,0.0,1.14785026510732E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Energy, primary, from geothermal [kWh]","resource / in ground",0.0,0.0,0.0,0.0,0.0,-0.0057959230601922936,0.0,0.0,0.0,-2.082993065043136E-5,0.0,0.0,-0.004682935837079682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016992136878485264,0.0,-9.546135794091463E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wooden pallet (EURO) [kg]","Production residues in life cycle / Waste for recovery",0.0,0.0,0.0,0.0,0.0,7.17652E-12,0.0,0.0,0.0,0.0,0.0,0.0,3.72303E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Decane [kg]","water / fresh water",0.0,0.0,0.0,0.0,0.002548962,2.00081E-5,0.0,0.0,0.0,1.29072058265299E-9,0.0,0.0,1.20265E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49811001947207E-8,0.0,1.61648746918393E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nickel [kg]","resource / in ground",0.0,0.0,0.0,0.0,0.045701902288,-7.52214E-13,0.0,0.0,0.0,-8.18818207428429E-9,0.0,0.0,-1.31902E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.71593920842568E-8,0.0,-7.95476845358736E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Copper [kg]","air / unspecified",0.0,0.0,0.0,0.0,-1.22E-5,1.06237E-11,9.97E-8,0.0,0.0,1.77926466241634E-10,0.0,0.0,1.82735E-9,0.0,0.0,0.0,0.0,1.2048052E-9,0.0,0.0,0.0,0.0,5.80959705835922E-9,0.0,2.96539573180746E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, ground [kg]","resource / in water",0.0,0.0,0.0,0.0,0.0,-5.70158E-4,0.0,0.0,0.0,-1.14085946698909,0.0,0.0,-0.195011179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.267402523015272,0.0,-0.442606926673422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metamorphous rock, graphite containing, in ground [kg]","resource / in ground",0.0,0.0,0.0,0.0,-6104.60110216633,-2.070866E-8,0.0,0.0,0.0,-0.0193361225415524,0.0,0.0,-3.842867E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55208773191719,0.0,-0.420302794864472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cadmium, ion [kg]","water / unspecified",0.0,0.0,1.02E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0,3.4938169E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31E-9,0.0,0.0,9.03E-9,0.0,0.0
"Dummy, Alloying metals and additives, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane, dichloro-, HCC-30 [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coal, bituminous, 24.8 MJ per kg [kg]","resource / ground-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Carbon dioxide, liquid, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Disposal, rubber, to sanitary landfill [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Toluene [kg]","water / unspecified",0.0,0.0,5.02E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,7.573683E-8,0.0,0.0,0.0,1.0E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4E-7,0.0,0.0,3.06E-7,0.0,0.0
"Dummy, Disposal, biohazard waste, to sanitary landfill [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Recycling, wood waste, unspecified [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methanol [kg]","air / unspecified",0.0,0.0,0.0,0.0,7.04408E-4,0.0,0.0,0.0,0.0,1.03234852449599E-9,0.0,0.0,0.0,0.0,3.5E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87375342753716E-8,0.0,4.3252493980404E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Oil and grease, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Recycling, petroleum based wastes, unspecified [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adipate, bis(2-ethylhexyl)- [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Formaldehyde [kg]","air / unspecified",0.0,1.2E-6,0.0,0.0,0.002211356,0.0,0.0,1.7674E-5,0.0,1.46644554612331E-8,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,5.5376392E-7,0.0,0.0,0.0,0.0,4.95156729873243E-7,0.0,7.94767624830673E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2014E-6,0.0,0.0,0.0,0.0
"Methyl ethyl ketone [kg]","water / unspecified",0.0,0.0,2.55E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126,0.0,0.0,4.1857077E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41E-11,0.0,0.0,6.62E-12,0.0,0.0
"Cresol [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nickel compounds, unspecified [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Recycling, biohazard waste, unspecified [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naphthalene [kg]","air / unspecified",0.0,9.77E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16342700956612E-12,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,6.4389747E-9,0.0,0.0,0.0,0.0,9.99772041770293E-11,0.0,9.77212229918632E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7713E-9,0.0,0.0,0.0,0.0
"Iron [kg]","water / unspecified",0.0,0.0,1.84E-4,0.0,0.0,0.0,3.56E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5E-4,0.0,0.0,2.0459925E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29E-5,0.0,0.0,5.04E-5,0.0,0.0
"2-Methyl-1-propanol [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, TEA gas, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Limestone [kg]","resource / ground-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mercury compounds, unspecified [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Diisocyanates [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Disposal, municipal solid wastes, to sanitary landfill [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chromium, ion [kg]","water / unspecified",0.0,0.0,1.6E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Curing agent, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lead compounds [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Recycling, municipal solid wastes, unspecified [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cyanide [kg]","water / unspecified",0.0,0.0,2.29E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0E-5,0.0,0.0,3.7526671E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27E-11,0.0,0.0,5.93E-12,0.0,0.0
"Cyanide, amenable [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Recycling, batteries [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Recycling, fluorescent tubes and other mercury-containing wastes [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aluminium [kg]","water / unspecified",0.0,0.0,5.84E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0E-6,0.0,0.0,1.0066266E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3E-5,0.0,0.0,2.7E-5,0.0,0.0
"Iron and steel, production mix [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy, Disposal, acid pickling waste, to sanitary landfill [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1-Methyl-2-pyrrolidinone [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
