"Natural gas, processed, at plant [m3]","",-521634.01330160274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-521634.01330160274,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
"Iron, sand casted [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3260437375745527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001956262425447316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chlorine, production mix, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5964214711729622,0.0,0.0,0.0,0.0,0.475838500203137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003578528827037773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, combination truck, average fuel mix [t*km]","",0.0,-0.199,0.0,0.0,0.0,0.0,-0.00525,-0.0052453,0.0,0.0,-0.021868787276341946,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3121272365805169E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrochloric acid, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021868787276341946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3121272365805169E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Natural gas, processed, for olefins production, at plant [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, pipeline, natural gas [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.22308452177517,0.0,-0.14123802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, at grid, US, 2008 [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1376,0.0,0.0,0.0,-0.5778038931038096,0.0,0.0,-0.07668,0.0,3.6,-0.36694794971905204,0.0,-0.238095238095238,0.0,0.0,0.0,0.0,-0.6364818211819054,0.0,-0.49682539682539567,0.0,-0.11984126984127001,-0.05364,0.0,-0.1404,0.0,0.0,-0.5724,0.0,0.0
"Propylene, at plant [kg]","",0.0,0.0,0.0,-0.3037585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"oxygen [kg]","Materials production / Inorganic chemicals",0.0,0.0,0.0,-0.2384473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
