,,"Cured Graphite Paint, 1 m2, 1 micron [Item(s)]","de-ionised water [kg]","Conductive Graphite Paint [kg]","Electricity, at grid, US, 2000 [kWh]","Natural Graphite, Asia [kg]","Ammonia, steam reforming, liquid, at plant [kg]","Gasoline, combusted in equipment [m3]","Natural gas, combusted in industrial boiler [m3]","Diesel, combusted in industrial boiler [m3]","Transport, combination truck, average fuel mix [t*km]","Natural gas, processed, for olefins production, at plant [kg]","Electricity, at grid, US, 2008 [kWh]","Transport, pipeline, natural gas [t*km]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]","Natural gas, at extraction site [m3]"
,,"","Materials production / Water","","","","","","","","","","","","","","","","","","",""
"Cresol, p- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9E-9,0.0,0.0,9.83E-8
"Docosane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88E-10,0.0,0.0,3.39E-9
"Chromium, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6E-6
"Hexadecane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53E-8,0.0,0.0,1.91E-7
"Dibenzothiophene [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64E-11,0.0,0.0,4.9422E-10
"Boron [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98E-7,0.0,0.0,9.94E-6
"COD, Chemical Oxygen Demand [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,2.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02E-5,0.0,0.0,9.11E-4
"Mercury [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54E-10,0.0,0.0,6.22E-10
"Radium-226/kg [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21E-15,0.0,0.0,1.15E-13
"Gas, natural [m3]","resource / ground-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
"Fluorene, 1-methyl- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0E-11,0.0,0.0,3.61E-10
"Cresol, o- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33E-9,0.0,0.0,9.11E-8
"Methane, monochloro-, R-40 [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06E-12,0.0,0.0,1.28E-10
"Molybdenum [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85E-9,0.0,0.0,7.28E-8
"Arsenic, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7E-8,0.0,0.0,7.0E-7
"Benzene [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6E-7,0.0,0.0,5.31E-6
"Pentanone, methyl- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33E-8
"Sulfate [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02E-5,0.0,0.0,2.33E-4
"Acetone [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8E-9,0.0,0.0,3.17E-8
"Manganese [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42E-7,0.0,0.0,3.22E-6
"Titanium, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23E-7,0.0,0.0,5.48E-7
"Toluene [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4E-7,0.0,0.0,5.02E-6
"Silver [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02E-7,0.0,0.0,6.64E-6
"m-Xylene [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52E-9,0.0,0.0,9.6E-8
"Lithium, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5E-4,0.0,0.0,0.0034
"Benzene, ethyl- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46E-8,0.0,0.0,2.99E-7
"Octadecane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8E-9,0.0,0.0,4.72E-8
"Dibenzofuran [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33E-11,0.0,0.0,6.02E-10
"Sulfur [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48E-7,0.0,0.0,8.39E-6
"Phenol, 2,4-dimethyl- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13E-9,0.0,0.0,8.87E-8
"Dissolved solids [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00623,0.0,0.0,0.141
"Fluorenes, alkylated, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74E-9,0.0,0.0,1.81E-9
"Cobalt [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64E-9,0.0,0.0,7.02E-8
"Tetradecane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04E-9,0.0,0.0,7.68E-8
"Cadmium, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31E-9,0.0,0.0,1.02E-7
"Selenium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81E-9,0.0,0.0,7.04E-9
"Radium-228/kg [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71E-17,0.0,0.0,5.86E-16
"Hexacosane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17E-10,0.0,0.0,2.12E-9
"2-Hexanone [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7E-9,0.0,0.0,2.07E-8
"Thallium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05E-9,0.0,0.0,7.53E-9
"Magnesium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01E-4,0.0,0.0,0.00199
"Barium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1E-4,0.0,0.0,9.02E-4
"Phenanthrene [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04E-10,0.0,0.0,4.06E-10
"Cyanide [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27E-11,0.0,0.0,2.29E-10
"BOD5, Biological Oxygen Demand [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,5.0E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43E-5,0.0,0.0,5.52E-4
"Ammonia [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,6.0E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5E-6,0.0,0.0,3.91E-5
"Tin [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78E-8,0.0,0.0,3.49E-7
"Calcium, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04E-4,0.0,0.0,0.0102
"Detergents, oil [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16E-6
"Strontium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39E-5,0.0,0.0,1.73E-4
"Biphenyl [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06E-9,0.0,0.0,2.02E-9
"Naphthalene, 2-methyl- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94E-9,0.0,0.0,5.02E-8
"Beryllium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99E-9,0.0,0.0,3.17E-8
"Benzoic acid [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58E-7,0.0,0.0,3.21E-6
"Zinc [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26E-7,0.0,0.0,1.56E-6
"Nickel [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78E-8,0.0,0.0,5.54E-7
"Methyl ethyl ketone [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41E-11,0.0,0.0,2.55E-10
"Yttrium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71E-9,0.0,0.0,2.13E-8
"Phenanthrenes, alkylated, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21E-10,0.0,0.0,2.12E-10
"Xylene [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12E-7,0.0,0.0,2.6098999999999998E-6
"Bromide [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0E-5,0.0,0.0,6.79E-4
"Hexanoic acid [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35E-8,0.0,0.0,6.66E-7
"Sodium, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00143,0.0,0.0,0.0323
"Vanadium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79E-9,0.0,0.0,8.6E-8
"Decane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39E-9,0.0,0.0,9.23E-8
"Aluminium [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3E-5,0.0,0.0,5.84E-5
"Benzene, 1-methyl-4-(1-methylethyl)- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75E-11,0.0,0.0,3.17E-10
"Antimony [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4E-8,0.0,0.0,3.56E-8
"Benzene, pentamethyl- [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31E-11,0.0,0.0,2.37E-10
"Icosane [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85E-9,0.0,0.0,4.82E-8
"Methane [kg]","air / unspecified",0.0,1.2470856115327882E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.00881
"Lead-210/kg [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65E-17,0.0,0.0,3.29E-16
"Naphthalenes, alkylated, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74E-10,0.0,0.0,5.1E-10
"Phenols, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4E-8,0.0,0.0,1.42E-6
"Fluorine [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11E-9
"Gasoline, combusted in equipment [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,1.0E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Propene [kg]","air / unspecified",0.0,8.126928132203789E-10,0.0,0.0,0.0,0.0,3.8644E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Butadiene [kg]","air / unspecified",0.0,7.898038934060692E-14,0.0,0.0,0.0,0.0,5.8565E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acetaldehyde [kg]","air / unspecified",0.0,5.912069043747754E-10,0.0,0.0,0.0,0.0,1.1488E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acrolein [kg]","air / unspecified",0.0,3.406608120128359E-13,0.0,0.0,0.0,0.0,1.3855E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PAH, polycyclic aromatic hydrocarbons [kg]","air / unspecified",0.0,6.463822636902951E-10,0.0,0.0,0.0,0.0,2.5164E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gasoline, at refinery [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,-1.0E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Antimony [kg]","air / unspecified",0.0,9.220828218868159E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Radon-222 [kBq]","air / unspecified",0.0,0.03195153923449003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chromium [kg]","water / fresh water",0.0,2.78027682743135E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cobalt-58 [kBq]","air / unspecified",0.0,1.0209127852567687E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chrysene [kg]","air / unspecified",0.0,5.966603571349086E-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cadmium [kg]","soil / unspecified",0.0,4.3173123104691754E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naphthalene [kg]","water / fresh water",0.0,5.357372552922035E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Uranium-234 [kBq]","air / unspecified",0.0,1.3890438743920036E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benzo(k)fluoranthene [kg]","water / ocean",0.0,8.213994527692642E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Americium-241 [kBq]","water / fresh water",0.0,5.866907512715698E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sulfide [kg]","water / fresh water",0.0,5.685606593976402E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colemanite, in ground [kg]","resource / in ground",0.0,-3.3073436414420247E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Propane, 1,2-dichloro- [kg]","water / fresh water",0.0,3.729052646567609E-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potassium [kg]","soil / unspecified",0.0,1.4891389350540265E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carbonate [kg]","water / ocean",0.0,1.4582360964265264E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cadmium [kg]","water / fresh water",0.0,4.1655754642282136E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benzene [kg]","water / ocean",0.0,5.549103348260985E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aggregate, natural [kg]","resource / in ground",0.0,-2.239599370676646E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cresol [kg]","water / ocean",0.0,4.2372794379874015E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TOC, Total Organic Carbon [kg]","water / fresh water",0.0,3.0571690812363E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Energy, primary, from solar energy [kWh]","resource / in air",0.0,-1.0567229018707027E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidity, unspecified [kg]","air / unspecified",0.0,2.1095543899610495E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, surface [kg]","resource / in water",0.0,-1.1364635420359888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manganese [kg]","water / ocean",0.0,7.597997672612001E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Strontium [kg]","air / unspecified",0.0,3.074682069025919E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cyanide [kg]","water / fresh water",0.0,3.5204825485144985E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potassium [kg]","water / fresh water",0.0,5.9413285680286067E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chromium, ion [kg]","water / fresh water",0.0,1.0414735826570376E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nickel [kg]","resource / in ground",0.0,-8.039386552131603E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cesium-137 [kBq]","air / unspecified",0.0,3.329538312372729E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane, chlorodifluoro-, HCFC-22 [kg]","air / unspecified",0.0,8.712363640968726E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fluoranthene [kg]","water / fresh water",0.0,2.1656400174857306E-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrocyanic acid [kg]","air / unspecified",0.0,1.0820186782761142E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iodine-129 [kBq]","water / fresh water",0.0,8.491622844321903E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dibenz(a,h)anthracene [kg]","air / unspecified",0.0,1.3505487813526635E-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magnesium [kg]","soil / unspecified",0.0,1.626506643649376E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rhodium [kg]","air / unspecified",0.0,4.769068539334457E-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Titanium [kg]","air / unspecified",0.0,1.267729431313231E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Molybdenum [kg]","resource / in ground",0.0,-3.395002470119401E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iodine-131 [kBq]","air / unspecified",0.0,1.9120746894703546E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
