,,"Cured Graphite Paint, 1 m2, 1 micron [Item(s)]","de-ionised water [kg]","Conductive Graphite Paint [kg]","Electricity, at grid, US, 2000 [kWh]","Natural Graphite, Asia [kg]","Ammonia, steam reforming, liquid, at plant [kg]","Gasoline, combusted in equipment [m3]","Natural gas, combusted in industrial boiler [m3]","Diesel, combusted in industrial boiler [m3]","Transport, combination truck, average fuel mix [t*km]","Natural gas, processed, for olefins production, at plant [kg]","Electricity, at grid, US, 2008 [kWh]","Transport, pipeline, natural gas [t*km]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]","Natural gas, at extraction site [m3]"
,,"","Materials production / Water","","","","","","","","","","","","","","","","","","",""
"Manganese [kg]","air / unspecified",0.0,3.9799158470016385E-10,0.0,0.0,0.0,0.0,0.0,6.09E-9,9.97E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane, dichloro-, HCC-30 [kg]","air / unspecified",0.0,6.902405853574499E-18,0.0,0.0,0.0,0.0,0.0,0.0,5.36E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chloride [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.114
"Iron [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29E-5,0.0,0.0,1.84E-4
"Hydrogen chloride [kg]","air / unspecified",0.0,1.9800526994164277E-7,0.0,0.0,0.0,0.0,0.0,0.0,8.38E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Transport, pipeline, unspecified [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.041307,-1.19,-0.0413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VOC, volatile organic compounds [kg]","air / unspecified",0.0,2.321931433942019E-8,0.0,0.0,0.0,0.0,0.0028351,8.84E-5,2.41E-5,0.0,7.7E-4,0.0,0.0,0.0,0.0,5.66E-4,2.6292E-5,0.0,1.3237E-5,1.3128E-5,0.0
"Copper, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47E-7
"Nickel [kg]","air / unspecified",0.0,4.205047766247208E-10,0.0,0.0,0.0,0.0,0.0,3.36E-8,4.99E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phenols, unspecified [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Suspended solids, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,5.0E-5,0.0,0.0,1.07E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00256,0.0,0.0,0.00201
"Selenium [kg]","air / unspecified",0.0,6.035905788407684E-10,0.0,0.0,0.0,0.0,0.0,3.84E-10,2.49E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benzene [kg]","air / unspecified",0.0,4.787266017330809E-9,0.0,0.0,0.0,0.0,1.3975E-5,3.36E-8,0.0,0.0,9.6E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naphthalene [kg]","air / unspecified",0.0,5.069597291196938E-12,0.0,0.0,0.0,0.0,0.0,9.77E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Formaldehyde [kg]","air / unspecified",0.0,1.4397973195982576E-8,0.0,0.0,0.0,0.0,1.7674E-5,1.2E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cobalt [kg]","air / unspecified",0.0,3.087071016820076E-11,0.0,0.0,0.0,0.0,0.0,1.35E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"waste water - untreated [kg]","End-of-life treatment / Waste water treatment",0.160250855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
